#
100   736869.0528243   -129.9956   45.9396   0.87
 511452     740013.4210918  -129.9728    45.9283    1.214
AS1A  U         63.3448         63.3448       2641.4561        3716.7920
AS2A  U         38.9596         38.9596        470.1676         949.8790
CC1A  D         74.8127         74.8127        352.3164        1490.0702
EC1A  U         45.4696         45.4696       1546.3133        3853.7119
EC2A  U         40.5981         40.5981       3092.8947        6827.1416
EC3A  D         53.3905         53.3905       9159.5951       27132.6584
ID1A  D         82.0361         82.0361      13210.9846       14042.3683
 1074512     736037.8801940  -130.0231    45.9736    0.382
AS1B  U        176.2570        176.2570        494.9823        3684.8185
AS2B  U        190.7397        190.7397        569.7706        2820.7164
CC1B  D        170.7069        170.7069       1580.9265        9447.6213
EC2B  U        137.4830        137.4830        417.8436        2816.2897
EC3B  D        186.7755        186.7755        521.5453        4407.3537
ID1B  D          1.0000          1.0000          1.0000           1.0000
 1501780     736078.1668002  -130.0115    45.9390    0.552
AS1C  U         76.6346         76.6346        216.4919         560.1272
AS2C  U         90.1505         90.1505       1028.6177        2065.9973
CC1C  D         76.1019         76.1019        103.3442         246.5682
EC1C  U         40.2565         40.2565         82.5419         534.0277
EC2C  U         35.9496         35.9496        115.9412         484.5024
EC3C  D         61.2397         61.2397        120.1085         696.6047
 1109512     736056.0878681  -129.9839    45.9332    1.092
AS1D  U         37.0058         37.0058       1194.7998        5315.5827
AS2D  U         40.7075         40.7075        117.3623         752.3626
CC1D  D         88.2379         88.2379         97.0870         303.8276
EC1D  U         42.9506         42.9506        558.3013        3325.7511
EC2D  U         31.3784         31.3784        798.4490        3288.4466
EC3D  D         44.7675         44.7675       1301.8917       16490.5934
ID1D  D         36.2581         36.2581        992.2970        1893.3319
 1327642     737901.6249438  -130.0155    45.9383    0.804
AS1E  U         18.9608         18.9608         63.7021         126.6234
AS2E  U         29.2145         29.2145        260.7980         493.0416
CC1E  D         25.5550         25.5550         31.3451         111.5440
EC1E  U         26.3585         26.3585         25.2099         130.4253
EC2E  U         23.1102         23.1102         30.3158         124.8016
EC3E  D         21.9522         21.9522         31.7306         175.2640
 1034993     735998.0942547  -129.9812    45.9324    0.999
AS1F  U        637.3971        637.3971       1425.1525        3408.4572
AS2F  U        160.7289        160.7289        236.9112         785.7610
EC1F  U        824.1142        824.1142        810.6817        3482.3497
EC2F  U        452.5821        452.5821       1165.2889        5118.5082
EC3F  D       4631.4327       4631.4327       4149.3185       18447.2640
ID1F  D        766.1657        766.1657       1178.6336        5137.4508
 1034996     735998.0946177  -129.9810    45.9325    1.033
AS1G  U         41.4548         41.4548       1306.2302        3016.3017
AS2G  U         26.8850         26.8850        192.2763         802.1212
CC1G  D         39.7618         39.7618        170.5498         615.0316
EC1G  U         31.3291         31.3291        445.0627        2769.7702
EC2G  U         21.7883         21.7883       1262.3665        5234.7314
EC3G  D         39.4519         39.4519       5058.2383       24905.5332
ID1G  D         34.5975         34.5975       1781.6389        5678.3923
#
101   737206.3218204   -129.9953   45.9526   0.59
 511571     740014.0881289  -129.9854    45.9549    1.626
AS1A  D        102.5939        102.5939       1796.5362        1454.9259
AS2A  U         83.3963         83.3963        565.1414        1326.4799
CC1A  U        180.3201        180.3201       4128.2525        9055.1421
EC1A  U         70.3114         70.3114       4895.6064       15462.1642
EC2A  U         80.1579         80.1579       2098.1072       10726.9512
EC3A  U        126.9072        126.9072       1161.5649       24003.5225
ID1A  D        102.6952        102.6952        226.1528        1309.0410
 1084076     736043.8965269  -129.9936    45.9648    1.477
AS1B  D          1.0000          1.0000          1.0000           1.0000
AS2B  U         31.9492         31.9492         82.1590         339.5686
CC1B  U         27.6041         27.6041       1361.6829        1932.4450
EC2B  U         24.7385         24.7385        157.1474        1409.4208
EC3B  U         31.1821         31.1821        195.9854        2112.1806
ID1B  D         27.0256         27.0256         46.5116         226.7540
 1319800     737807.8406959  -129.9975    45.9511    0.344
AS1C  D         61.7286         61.7286         87.5112         386.7429
AS2C  U         61.6905         61.6905        101.6204         619.4158
CC1C  U         90.6770         90.6770       1268.6464        3292.2303
EC2C  U         74.0519         74.0519        262.1653        1524.2384
EC3C  U         74.8010         74.8010        153.9498        2405.5391
ID1C  D         72.8921         72.8921         87.1494         251.3017
 1502536     736078.2829642  -129.9976    45.9486    0.063
AS1D  D      13849.3325      13849.3325      28049.5912      258490.4784
AS2D  U      14477.1313      14477.1313      37301.7526      332425.9439
CC1D  U      38332.3360      38332.3360     456446.6364      951370.6492
EC2D  U      16822.9435      16822.9435      45562.3363      459922.1289
EC3D  U      30720.7082      30720.7082      48631.5247      590158.4896
ID1D  D       5208.4664       5208.4664      10013.0053       61998.9629
 1029361     735994.1481272  -129.9969    45.9494    0.146
AS2E  U         29.3839         29.3839         61.4809         113.0115
CC1E  U         65.0003         65.0003        775.2145        1573.6461
EC1E  U         27.9736         27.9736        216.3070        2814.7215
EC2E  U         20.8392         20.8392        147.7057         791.8169
EC3E  U         33.4085         33.4085        147.5496        1066.0821
ID1E  D         25.5299         25.5299         32.4490         116.8826
 1209585     737314.9623250  -129.9981    45.9496    0.282
AS1F  D         32.8266         32.8266         98.2287         443.1622
AS2F  U         22.3917         22.3917        212.0600         718.8023
CC1F  U         63.6359         63.6359       1211.5071        4673.8806
EC1F  U         31.8113         31.8113        222.5525        1385.1051
EC2F  U         33.4841         33.4841        194.0122        1005.6842
EC3F  U         35.3446         35.3446        124.2420        1455.9213
ID1F  D         37.6159         37.6159         82.7731         199.2849
 1202288     737191.0339751  -129.9980    45.9496    0.195
AS2G  U         34.1039         34.1039        203.8748        1135.6534
CC1G  U         40.1512         40.1512       2999.0038        7169.6186
EC1G  U         22.4570         22.4570       1832.8670       12773.6351
EC2G  U         29.7059         29.7059        787.9496        3656.6301
EC3G  U         28.4031         28.4031        520.8199        4605.6166
ID1G  D         53.6388         53.6388        110.2504         548.9575
#
102   737095.7849134   -130.0143   45.9408   0.59
 511601     740014.2527038  -130.0219    45.9383    1.028
AS1A  U        135.0951        135.0951      16617.1577       34777.0300
AS2A  U        118.9561        118.9561      23867.3415       71803.0312
CC1A  D        163.2188        163.2188       8198.2245       42325.8988
EC1A  D        190.2073        190.2073       2478.5224       20541.6531
EC2A  U        202.9066        202.9066      13744.8945       23181.0602
EC3A  D        296.9756        296.9756       9606.8029       52412.6341
ID1A  U        245.0882        245.0882       1991.7967        4328.5628
 1150146     736079.3896913  -130.0129    45.9460    0.272
AS1B  U        110.7856        110.7856        367.2235        2243.1114
CC1B  D          1.0000          1.0000          1.0000           1.0000
EC1B  D         84.7563         84.7563       1069.6013        7030.9697
EC2B  U         95.9319         95.9319        242.1396        1506.6903
EC3B  D        119.8201        119.8201        418.3970        4602.1298
ID1B  U         48.3284         48.3284        371.4603        1105.7079
 1150024     736079.3601115  -130.0163    45.9461    0.471
AS2C  U         57.7814         57.7814       1021.4741        3192.2200
CC1C  D          1.0000          1.0000          1.0000           1.0000
EC1C  D        100.5643        100.5643        701.0882        1850.8710
EC2C  U        148.4296        148.4296        294.6642         862.5134
EC3C  D         82.5182         82.5182        309.8271        2823.2360
ID1C  U         85.1074         85.1074        291.8402         888.6390
 1099069     736050.8038908  -130.0133    45.9286    1.139
AS1D  U        106.7775        106.7775       1605.4752        4021.9217
AS2D  U         92.4512         92.4512       1555.6977        6613.8421
CC1D  D          1.0000          1.0000          1.0000           1.0000
EC1D  D         93.1366         93.1366        472.4984        3522.6112
EC2D  U         54.8791         54.8791        316.2392        1915.3822
