ORIG_FID	LONGITUDE	LATITUDE
0	-129.9865694	45.9510666
0	-129.9846262	45.94559315
1	-129.984911	45.94551486
1	-129.9846049	45.94144358
2	-129.9844552	45.94148237
2	-129.9845682	45.94010681
2	-129.9847046	45.93967037
2	-129.9846266	45.93948722
2	-129.9845862	45.93838318
3	-129.9848471	45.93793245
3	-129.9853311	45.93575446
3	-129.9860418	45.93390313
4	-129.9849662	45.93183281
4	-129.9858743	45.9286083
5	-129.9816068	45.92882037
5	-129.9818721	45.92706525
6	-129.9818823	45.92707546
6	-129.9826112	45.92400362
7	-129.9827828	45.92306591
7	-129.9831814	45.92137903
8	-129.9882939	45.91933303
8	-129.9892228	45.9160081
9	-129.9896933	45.91366311
9	-129.9905936	45.91060581
9	-129.991439	45.90828964
10	-129.9912288	45.90821997
10	-129.9915335	45.90741138
10	-129.9918551	45.9060491
10	-129.9921256	45.90408464
11	-129.9928092	45.90159704
11	-129.9931722	45.9002091
11	-129.9940093	45.8972603
12	-129.9938894	45.8964632
12	-129.9939388	45.89575912
12	-129.9942639	45.89480095
13	-129.9944595	45.89461341
13	-129.9945734	45.89443547
13	-129.994791	45.893246
13	-129.994912	45.89310365
13	-129.995509	45.89174466
13	-129.9956396	45.89118256
14	-129.986296	45.95194014
14	-129.9863619	45.95271223
14	-129.986814	45.95465143
15	-130.024761	45.70409197
15	-130.0261479	45.69222505
16	-130.0274931	45.68950432
16	-130.0288756	45.67681373
17	-130.0278079	45.66788524
17	-130.0284589	45.66106853
18	-130.0274747	45.67098812
18	-130.0276621	45.66962975
19	-129.9956132	45.88161329
19	-129.9961648	45.88025569
20	-129.9979621	45.87913899
20	-129.9989485	45.87632973
20	-129.9995001	45.87489578
20	-129.9996313	45.87394037
20	-129.9999818	45.87311394
21	-130.0002715	45.87163741
21	-130.0010639	45.86931702
22	-129.9953363	45.88883722
22	-129.9969274	45.88274573
23	-129.9927357	45.9024345
23	-129.9928994	45.90190067
24	-129.9868099	45.95463211
24	-129.9873769	45.955787
24	-129.9877753	45.95677688
24	-129.9878135	45.95735749
24	-129.9879527	45.95813623
24	-129.9876151	45.95854734
24	-129.987506	45.9588763
24	-129.9872333	45.95920767
24	-129.987428	45.95978084
25	-129.9892373	45.91598934
25	-129.989737	45.91455571
26	-129.9994942	45.86408955
26	-129.9996796	45.86376892
26	-129.9998048	45.86342824
26	-130.0001605	45.86278696
26	-130.0007299	45.8613118
26	-130.0008039	45.86097543
26	-130.0010222	45.86046234
27	-129.9892175	45.9683907
27	-129.9891189	45.96814865
27	-129.9890183	45.96801807
27	-129.9889096	45.96759886
28	-129.988992	45.96746391
28	-129.9888835	45.9673534
29	-129.988608	45.96687237
29	-129.9885563	45.96673539
30	-129.9886292	45.96652863
30	-129.9884956	45.96609462
31	-129.9903298	45.97246527
31	-129.9901004	45.97109202
32	-129.9899146	45.97408224
32	-129.9899785	45.9738376
33	-129.9898359	45.97020566
33	-129.9897155	45.9698895
33	-129.9896608	45.96981282
33	-129.989616	45.96959603
34	-129.989171	45.96876632
34	-129.9891498	45.96853432
34	-129.9890606	45.96832077
35	-129.9961916	45.87124035
35	-129.9955849	45.87413759
35	-129.9954279	45.87466583
35	-129.9950617	45.87552919
36	-129.9914703	45.88415456
36	-129.9911804	45.88472862
36	-129.9910273	45.88532053
37	-129.9919455	45.88479818
37	-129.991733	45.8851239
38	-129.9914303	45.88497411
38	-129.991165	45.88539554
39	-129.9952494	45.8895957
39	-129.9952357	45.89035787
40	-129.988417	45.96578002
40	-129.9881916	45.96462462
40	-129.988124	45.96428229
40	-129.9880413	45.96341087
40	-129.9880835	45.96315387
40	-129.987998	45.96295457
41	-129.9878691	45.96146971
41	-129.9878254	45.96131292
42	-129.9894171	45.96878332
42	-129.9892974	45.96850431
43	-129.989445	45.96942891
43	-129.9893068	45.96903289
44	-129.9894459	45.96902026
44	-129.9893985	45.96888922
45	-129.990381	45.9729719
45	-129.9903495	45.97273403
46	-130.0020109	45.86723778
46	-130.0021156	45.86699984
47	-129.9981181	45.86934123
47	-129.9981561	45.86920798
48	-129.9985924	45.86674984
48	-129.9985523	45.86691517
49	-129.9984403	45.86764166
49	-129.9983618	45.86779871
